,rank,artist_names,artist_individual,artist_id,artist_genre,track_name,release_date,album_num_tracks,album_cover,peak_rank,previous_rank,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,release_year
8713,112,"L-Gante, DT.Bilardo",L-Gante,spotify:artist:4YYxffPVDFe9XoqqbRW6Bq,cumbia 420,Malianteo 420 (Volumen 2),2021-08-09,1,https://i.scdn.co/image/ab67616d0000b273e32dcac99d12224c00225e46,104,104,0.761,0.689,7,1,-6.421,0.185,0.492,0.0,0.226,0.595,83.032,249398.0,2021
3226,112,Lasso,Lasso,spotify:artist:3SCOuAxngTC1yGjKMcIPEd,latin,Ojos Marrones,2022-06-03,1,https://i.scdn.co/image/ab67616d0000b273c6fbbdf9c172f4f68a89198a,112,-1,0.809,0.649,8,0,-4.433,0.0416,0.0407,0.0,0.145,0.72,120.014,198520.0,2022
20006,112,"DJ Alex, EL NOBA",DJ Alex,spotify:artist:7ygNQCdpQWW7iSWAxDhvhI,cumbia 420,TEKA | E6,2022-07-07,1,https://i.scdn.co/image/ab67616d0000b273cb4cf88240f984799058940d,112,-1,0.57,0.551,2,1,-7.677,0.34,0.307,0.0,0.0994,0.573,171.067,137500.0,2022
43453,112,"Juice WRLD, The Kid LAROI",Juice WRLD,spotify:artist:4MCBfE4596Uoi2O4DtmEMz,chicago rap,Reminds Me Of You,2020-12-08,1,https://i.scdn.co/image/ab67616d0000b273c036b68d0f08a4c3d05e1a34,41,120,0.613,0.631,4,1,-6.965,0.12,0.0663,0.0,0.169,0.33,149.992,158033.0,2020
30259,112,Adele,Adele,spotify:artist:4dpARuHxo51G3z768sgnrY,uk pop,Rolling in the Deep,2011-01-19,15,https://i.scdn.co/image/ab67616d0000b27333f4b6a81ff2d5be5f2cf917,46,100,0.73,0.769,8,1,-5.114,0.0298,0.138,0.0,0.0473,0.507,104.948,228093.0,2011
7499,112,"L-Gante, DT.Bilardo, DJ Alex",L-Gante,spotify:artist:4YYxffPVDFe9XoqqbRW6Bq,cumbia 420,Clandestina 420,2021-01-03,1,https://i.scdn.co/image/ab67616d0000b273d4eb7832a09637503a0afdcf,112,123,0.849,0.606,1,0,-6.868,0.293,0.194,0.0,0.113,0.58,94.885,118737.0,2021
33965,112,Pop Smoke,Pop Smoke,spotify:artist:0eDvMgVFoNV3TpwtrVCoTj,brooklyn drill,More Time,2021-07-16,20,https://i.scdn.co/image/ab67616d0000b27379476cf856443329e6c52c04,112,-1,0.628,0.581,2,1,-8.377,0.188,0.46,0.0,0.152,0.259,145.396,120828.0,2021
33550,112,Dean Martin,Dean Martin,spotify:artist:49e4v89VmlDcFCMyDv9wQ9,lounge,Let It Snow! Let It Snow! Let It Snow!,1959-01-01,12,https://i.scdn.co/image/ab67616d0000b273e359bd02a639a4d01b8241ae,46,-1,0.451,0.24,1,1,-14.014,0.0351,0.912,2.45e-06,0.175,0.701,134.009,117147.0,1959
29822,112,Dr. Dog,Dr. Dog,spotify:artist:4mLJ3XfOM5FPjSAWdQ2Jk7,modern rock,Where'd All the Time Go?,2010-11-02,18,https://i.scdn.co/image/ab67616d0000b2730478062bc04df0947d232fcb,112,166,0.454,0.82,2,1,-4.193,0.0567,0.132,0.000969,0.115,0.575,166.303,234800.0,2010
40060,111,"Drake, Lil Baby",Drake,spotify:artist:3TVXtAsR1Inumwj472S9r4,canadian pop,Wants and Needs (feat. Lil Baby),2021-03-05,3,https://i.scdn.co/image/ab67616d0000b2738b20e4631fa15d3953528bbc,21,119,0.578,0.449,1,1,-6.349,0.286,0.0618,2.17e-06,0.119,0.1,136.006,192956.0,2021
